Hisse,Tarih,Net Kar,Yüzde,Süre (Gün),Sebep
MSFT,2024-12-20,-6.3,-3.78,8,TREND KIRILIMI (SMA 20 Altı)
TSLA,2024-12-31,78.03,51.4,61,TREND KIRILIMI (SMA 20 Altı)
AAPL,2025-01-02,7.98,4.88,44,TREND KIRILIMI (SMA 20 Altı)
GOOGL,2025-01-10,1.22,0.74,23,TREND KIRILIMI (SMA 20 Altı)
GOOG,2025-01-10,-1.35,-0.82,21,TREND KIRILIMI (SMA 20 Altı)
AVGO,2025-01-10,-6.7,-4.18,10,TREND KIRILIMI (SMA 20 Altı)
META,2025-01-14,-6.93,-4.48,4,TREND KIRILIMI (SMA 20 Altı)
CSCO,2025-01-27,-0.64,-0.41,25,TREND KIRILIMI (SMA 20 Altı)
MRVL,2025-01-27,-20.45,-13.21,17,TREND KIRILIMI (SMA 20 Altı)
MSFT,2025-01-30,-8.34,-5.49,3,TREND KIRILIMI (SMA 20 Altı)
GOOGL,2025-02-05,-8.59,-5.75,6,TREND KIRILIMI (SMA 20 Altı)
AMZN,2025-02-07,-5.55,-3.65,11,TREND KIRILIMI (SMA 20 Altı)
BAC,2025-02-12,-0.28,-0.18,29,TREND KIRILIMI (SMA 20 Altı)
JPM,2025-02-20,13.28,8.57,41,TREND KIRILIMI (SMA 20 Altı)
META,2025-02-20,-3.61,-2.44,15,TREND KIRILIMI (SMA 20 Altı)
AVGO,2025-02-21,-12.5,-8.51,9,TREND KIRILIMI (SMA 20 Altı)
NVDA,2025-02-25,-15.32,-10.66,5,TREND KIRILIMI (SMA 20 Altı)
AAPL,2025-02-27,-6.49,-4.51,7,TREND KIRILIMI (SMA 20 Altı)
CSCO,2025-03-04,0.5,0.34,25,TREND KIRILIMI (SMA 20 Altı)
TXN,2025-03-06,-10.24,-7.34,13,TREND KIRILIMI (SMA 20 Altı)
T,2025-03-11,-2.57,-1.93,7,TREND KIRILIMI (SMA 20 Altı)
TMUS,2025-03-11,-4.69,-3.51,5,TREND KIRILIMI (SMA 20 Altı)
VZ,2025-03-12,-3.59,-2.7,13,TREND KIRILIMI (SMA 20 Altı)
AON,2025-03-13,-3.32,-2.53,2,TREND KIRILIMI (SMA 20 Altı)
AMGN,2025-03-24,-2.04,-1.49,27,TREND KIRILIMI (SMA 20 Altı)
VZ,2025-03-24,-1.94,-1.51,11,TREND KIRILIMI (SMA 20 Altı)
INTC,2025-03-28,-9.5,-7.4,4,TREND KIRILIMI (SMA 20 Altı)
