Sembol,Fiyat,Sazlık_Skoru,Trend,RSI,F/K,Karar
CORT,85.26,60,Yükseliş,82.25,48.72,İZLE
MMM,163.76,75,Yükseliş,46.82,20.73,GÜÇLÜ ADAY
XPEV,20.19,25,Nötr,38.45,-44.87,İZLE
SYK,354.77,40,Nötr,44.2,26.22,İZLE
DHR,225.65,70,Yükseliş,58.25,26.93,İZLE
WAB,214.07,60,Yükseliş,79.32,25.21,İZLE
HD,349.77,30,Nötr,46.44,22.42,İZLE
HST,17.08,90,Yükseliş,47.36,17.61,GÜÇLÜ ADAY
EXC,43.54,50,Nötr,29.27,16.56,İZLE
VEEV,235.37,45,Nötr,12.83,34.82,İZLE
MSCI,537.34,30,Nötr,27.38,31.53,İZLE
APO,136.17,80,Yükseliş,82.34,16.06,GÜÇLÜ ADAY
INTU,657.07,25,Nötr,53.86,29.56,İZLE
HAL,28.12,75,Yükseliş,66.91,8.65,GÜÇLÜ ADAY
BSX,93.32,45,Nötr,28.01,33.45,İZLE
HOOD,135.98,55,Yükseliş,64.71,186.27,İZLE
CMCSA,27.06,60,Nötr,48.16,6.18,İZLE
KIM,20.0,40,Nötr,53.6,28.57,İZLE
META,669.82,30,Nötr,75.09,26.48,İZLE
TRV,281.2,90,Yükseliş,43.8,13.23,GÜÇLÜ ADAY
LUMN,8.32,40,Yükseliş,53.12,-13.0,İZLE
FVRR,21.38,45,Nötr,64.29,8.16,İZLE
RSG,215.08,40,Nötr,60.23,31.58,İZLE
TSM,298.35,70,Yükseliş,65.75,36.93,İZLE
ICE,156.85,70,Nötr,64.85,23.27,İZLE
LH,259.82,65,Yükseliş,48.32,16.22,İZLE
MELI,2092.83,10,Nötr,52.96,43.26,İZLE
BKR,47.43,80,Yükseliş,47.25,18.46,GÜÇLÜ ADAY
PCAR,110.57,65,Yükseliş,88.22,14.25,İZLE
DOX,76.83,60,Nötr,59.16,10.93,İZLE
FTV,54.03,65,Yükseliş,78.65,12.96,İZLE
DKNG,34.99,10,Nötr,78.29,61.39,İZLE
ABT,122.89,60,Nötr,31.27,23.82,İZLE
INTC,39.82,55,Yükseliş,63.0,41.05,İZLE
ABNB,121.75,50,Nötr,58.09,27.06,İZLE
TT,399.49,40,Nötr,38.01,31.58,İZLE
SNAP,7.95,30,Nötr,40.32,19.4,İZLE
SRE,89.86,80,Yükseliş,41.89,17.48,GÜÇLÜ ADAY
CARR,53.65,60,Nötr,52.25,17.65,İZLE
RUN,17.91,30,Yükseliş,46.09,-23.87,İZLE
ETN,344.23,60,Yükseliş,50.98,28.57,İZLE
COP,93.46,90,Yükseliş,67.38,11.64,GÜÇLÜ ADAY
DAL,66.64,65,Yükseliş,85.7,9.49,İZLE
MDT,102.08,90,Yükseliş,66.72,17.45,GÜÇLÜ ADAY
ROKU,100.95,55,Yükseliş,57.53,-160.24,İZLE
EW,84.51,70,Yükseliş,49.23,34.49,İZLE
PM,149.15,45,Nötr,43.36,20.71,İZLE
DDOG,154.8,50,Yükseliş,16.8,76.26,İZLE
BABA,156.99,80,Yükseliş,49.03,15.91,GÜÇLÜ ADAY
ADBE,340.55,70,Nötr,61.5,16.57,İZLE
HON,191.34,45,Nötr,40.17,17.38,İZLE
VTR,81.79,45,Yükseliş,71.61,511.16,İZLE
QCOM,174.39,90,Yükseliş,64.5,14.26,GÜÇLÜ ADAY
BMY,52.12,65,Yükseliş,76.75,7.41,İZLE
ARE,44.78,45,Nötr,32.33,13.02,İZLE
MU,242.81,90,Yükseliş,50.39,18.87,GÜÇLÜ ADAY
ZION,55.62,65,Yükseliş,92.84,11.37,İZLE
DE,477.99,55,Nötr,51.13,21.56,İZLE
C,108.86,65,Yükseliş,81.47,15.14,İZLE
KHC,24.47,45,Nötr,55.82,7.97,İZLE
ROP,447.65,60,Nötr,56.73,22.36,İZLE
REG,68.38,40,Nötr,43.72,32.56,İZLE
HUM,259.02,65,Yükseliş,69.96,15.38,İZLE
VLO,174.1,75,Yükseliş,45.72,18.04,GÜÇLÜ ADAY
PEP,145.78,60,Yükseliş,47.51,16.89,İZLE
HOLX,74.93,80,Yükseliş,72.07,15.88,GÜÇLÜ ADAY
ALGN,156.88,45,Nötr,92.02,15.29,İZLE
EXEL,43.24,70,Yükseliş,55.94,25.44,İZLE
NET,205.18,30,Yükseliş,53.02,238.58,İZLE
IEX,176.8,80,Yükseliş,81.71,20.75,GÜÇLÜ ADAY
SOL,1.78,65,Yükseliş,39.29,3.3,İZLE
ENPH,31.22,50,Nötr,74.44,8.53,İZLE
NFLX,95.94,60,Nötr,30.7,4.03,İZLE
BLK,1066.44,80,Yükseliş,66.18,21.72,GÜÇLÜ ADAY
GIS,45.99,45,Nötr,40.66,9.78,İZLE
PAGP,18.69,65,Yükseliş,81.91,11.19,İZLE
TER,202.96,60,Yükseliş,74.67,47.76,İZLE
PINS,27.38,60,Nötr,67.07,15.21,İZLE
TMUS,205.55,45,Nötr,32.07,19.26,İZLE
NVDA,183.27,60,Yükseliş,46.24,44.48,İZLE
MSI,372.7,25,Nötr,42.48,25.37,İZLE
PAA,17.49,65,Yükseliş,70.55,12.58,İZLE
RGEN,162.9,55,Yükseliş,69.27,91.52,İZLE
AEP,116.82,70,Yükseliş,24.79,19.83,İZLE
WDC,167.66,75,Yükseliş,53.69,19.03,GÜÇLÜ ADAY
HAS,82.29,50,Yükseliş,73.1,18.58,İZLE
ZS,246.65,30,Nötr,23.56,69.28,İZLE
MRNA,27.65,55,Yükseliş,62.09,-3.18,İZLE
CRM,258.01,70,Nötr,66.93,23.18,İZLE
O,57.83,60,Yükseliş,60.54,36.37,İZLE
KMI,27.53,90,Yükseliş,55.33,21.85,GÜÇLÜ ADAY
CCL,25.69,65,Yükseliş,52.38,14.94,İZLE
PSX,139.98,75,Yükseliş,57.38,14.75,GÜÇLÜ ADAY
MA,538.05,25,Nötr,50.72,32.85,İZLE
RNG,29.61,50,Yükseliş,73.47,7.0,İZLE
LRCX,161.71,70,Yükseliş,64.77,37.87,İZLE
MAT,20.98,65,Yükseliş,72.8,13.19,İZLE
AMAT,267.11,60,Yükseliş,74.42,27.57,İZLE
CAT,597.73,45,Yükseliş,73.73,26.99,İZLE
DGX,182.63,65,Yükseliş,42.07,18.71,İZLE
PRU,111.22,65,Yükseliş,89.25,7.57,İZLE
WY,22.6,25,Nötr,66.69,26.28,İZLE
QS,12.65,45,Yükseliş,46.68,-15.06,İZLE
COF,230.35,50,Yükseliş,95.4,14.71,İZLE
ECL,259.08,40,Nötr,55.03,34.54,İZLE
RJF,164.73,90,Yükseliş,69.59,14.79,GÜÇLÜ ADAY
NIO,5.11,35,Yükseliş,29.85,-6.02,İZLE
CRWD,516.0,55,Yükseliş,44.87,120.84,İZLE
CCI,89.94,10,Nötr,46.8,33.56,İZLE
WES,39.44,75,Yükseliş,56.21,10.66,GÜÇLÜ ADAY
CDNS,339.38,60,Yükseliş,72.41,49.54,İZLE
FOX,61.43,60,Yükseliş,74.11,26.14,İZLE
TECH,60.81,45,Yükseliş,57.06,27.77,İZLE
APA,26.42,90,Yükseliş,63.39,9.61,GÜÇLÜ ADAY
WM,213.23,35,Nötr,61.15,26.42,İZLE
NEE,82.82,80,Yükseliş,36.59,22.51,GÜÇLÜ ADAY
CF,77.97,60,Nötr,38.74,12.62,İZLE
BYND,1.17,10,Nötr,57.11,-0.76,İZLE
DG,125.32,50,Yükseliş,75.06,20.15,İZLE
MS,177.76,65,Yükseliş,81.65,22.42,İZLE
AIG,76.38,60,Nötr,49.37,11.38,İZLE
NWSA,25.78,60,Nötr,54.17,24.33,İZLE
DVA,117.27,30,Nötr,50.0,10.41,İZLE
ZM,87.86,90,Yükseliş,67.08,16.61,GÜÇLÜ ADAY
TPR,117.31,50,Yükseliş,77.59,24.64,İZLE
EBAY,84.21,65,Yükseliş,62.87,16.13,İZLE
SCHW,93.51,80,Yükseliş,57.83,24.61,GÜÇLÜ ADAY
T,24.83,60,Nötr,40.12,11.08,İZLE
CFG,55.86,65,Yükseliş,86.91,14.43,İZLE
VZ,41.17,55,Nötr,51.45,8.71,İZLE
WFC,89.92,65,Yükseliş,77.83,16.38,İZLE
KEY,19.33,65,Yükseliş,92.14,12.39,İZLE
TGT,93.48,55,Nötr,61.04,8.89,İZLE
EQIX,740.28,40,Nötr,34.66,55.4,İZLE
TDY,512.42,60,Nötr,57.06,23.88,İZLE
PG,139.64,60,Nötr,35.36,18.82,İZLE
ALL,201.9,80,Yükseliş,33.82,10.61,GÜÇLÜ ADAY
KO,70.25,90,Yükseliş,50.52,23.65,GÜÇLÜ ADAY
AVGO,401.01,45,Yükseliş,71.49,64.99,İZLE
ROK,402.67,60,Yükseliş,75.71,35.32,İZLE
CHWY,34.35,25,Nötr,48.1,57.26,İZLE
AON,342.87,45,Nötr,40.28,19.72,İZLE
BBY,72.89,50,Yükseliş,45.12,10.66,İZLE
SWK,72.5,65,Yükseliş,83.82,13.2,İZLE
FIS,65.7,55,Nötr,59.02,11.51,İZLE
HCA,486.77,60,Yükseliş,56.1,19.83,İZLE
LABU,170.66,30,Yükseliş,71.27,0.0,İZLE
OXY,41.72,45,Nötr,50.28,13.2,İZLE
VFC,18.45,50,Yükseliş,82.21,20.05,İZLE
SO,85.93,50,Nötr,27.42,19.89,İZLE
ISRG,564.08,55,Yükseliş,59.66,71.77,İZLE
GT,8.56,30,Nötr,75.74,6.07,İZLE
DECK,100.64,60,Nötr,84.35,15.82,İZLE
LOW,246.84,60,Yükseliş,69.85,19.54,İZLE
UPST,47.2,10,Nötr,76.42,124.21,İZLE
RCL,248.59,45,Nötr,51.46,17.4,İZLE
CRL,188.06,65,Yükseliş,84.09,18.29,İZLE
EOG,111.26,70,Nötr,55.97,10.06,İZLE
NCLH,18.86,30,Nötr,69.5,9.02,İZLE
JPM,314.49,75,Yükseliş,67.56,18.79,GÜÇLÜ ADAY
CB,297.0,90,Yükseliş,53.47,12.58,GÜÇLÜ ADAY
GD,334.98,65,Yükseliş,41.47,20.83,İZLE
PGR,224.62,60,Nötr,48.37,16.28,İZLE
KSS,23.02,50,Yükseliş,74.67,11.51,İZLE
MDLZ,55.16,45,Nötr,47.15,16.08,İZLE
GILD,121.67,90,Yükseliş,44.3,16.38,GÜÇLÜ ADAY
BIDU,130.35,65,Yükseliş,70.19,11.75,İZLE
BDX,190.85,75,Yükseliş,49.74,12.13,GÜÇLÜ ADAY
COIN,273.29,40,Nötr,54.45,76.55,İZLE
MGM,35.58,50,Yükseliş,78.66,15.47,İZLE
SOFI,27.27,60,Yükseliş,50.91,94.02,İZLE
REGN,710.04,90,Yükseliş,51.6,15.67,GÜÇLÜ ADAY
SBUX,84.79,40,Nötr,53.21,22.79,İZLE
KR,63.78,30,Nötr,41.67,13.93,İZLE
K,83.44,60,Yükseliş,90.67,69.54,İZLE
DXCM,64.44,40,Nötr,73.64,31.74,İZLE
USB,51.47,65,Yükseliş,93.48,11.89,İZLE
PNC,197.46,65,Yükseliş,87.62,13.16,İZLE
PPG,100.81,45,Nötr,71.44,11.39,İZLE
TXN,181.85,60,Yükseliş,82.44,30.93,İZLE
LVS,67.34,75,Yükseliş,60.32,24.49,GÜÇLÜ ADAY
ED,95.61,65,Nötr,20.0,17.01,İZLE
AAL,14.77,50,Yükseliş,85.96,7.31,İZLE
EL,104.1,30,Yükseliş,83.25,38.56,İZLE
ADSK,299.3,60,Yükseliş,58.44,32.6,İZLE
SHOP,158.54,70,Yükseliş,68.94,85.7,İZLE
WHR,74.85,40,Nötr,66.87,6.48,İZLE
FSLY,10.65,55,Yükseliş,52.31,532.5,İZLE
GOOGL,314.87,60,Yükseliş,70.61,35.14,İZLE
ETSY,54.1,30,Nötr,47.98,20.81,İZLE
WKHS,6.67,10,Nötr,50.18,-3.73,İZLE
NKE,64.03,45,Nötr,56.91,19.82,İZLE
SPG,181.13,55,Yükseliş,50.4,26.72,İZLE
FOXA,69.25,80,Yükseliş,78.94,18.57,GÜÇLÜ ADAY
BXP,68.69,30,Yükseliş,47.68,36.73,İZLE
XBI,124.45,30,Yükseliş,72.15,0.0,İZLE
MOS,23.82,60,Nötr,44.76,9.68,İZLE
MQ,4.66,25,Nötr,46.15,-25.86,İZLE
TEAM,160.03,25,Nötr,77.07,38.94,İZLE
MSFT,491.05,60,Yükseliş,41.24,32.85,İZLE
BAC,53.64,65,Yükseliş,70.25,14.66,İZLE
COO,79.42,65,Yükseliş,71.29,19.47,İZLE
CVX,148.66,65,Yükseliş,37.28,13.47,İZLE
APH,140.39,70,Yükseliş,63.42,65.0,İZLE
CI,262.39,45,Nötr,41.07,8.38,İZLE
GWW,963.74,55,Nötr,65.39,22.89,İZLE
MRK,99.24,90,Yükseliş,62.75,10.56,GÜÇLÜ ADAY
MO,57.92,45,Nötr,48.04,10.83,İZLE
MCO,486.02,55,Yükseliş,63.83,36.49,İZLE
AMGN,322.87,75,Yükseliş,37.71,15.62,GÜÇLÜ ADAY
BLDP,2.8,45,Yükseliş,43.27,-4.99,İZLE
SLB,38.06,90,Yükseliş,68.28,10.37,GÜÇLÜ ADAY
PLD,127.41,70,Yükseliş,68.98,36.2,İZLE
COST,884.58,25,Nötr,38.36,44.95,İZLE
FMC,13.09,45,Nötr,51.65,2.81,İZLE
ZBRA,262.18,35,Nötr,81.81,16.35,İZLE
WAT,393.64,70,Yükseliş,63.37,30.44,İZLE
TMO,572.08,90,Yükseliş,53.73,24.35,GÜÇLÜ ADAY
CBOE,253.8,70,Yükseliş,41.49,27.65,İZLE
WEC,105.16,50,Nötr,19.77,20.15,İZLE
AMT,179.53,25,Nötr,46.83,26.44,İZLE
NTLA,9.65,25,Nötr,64.05,-1.75,İZLE
ZTS,119.5,60,Nötr,51.35,18.85,İZLE
EPR,50.74,60,Nötr,56.46,18.93,İZLE
XOM,116.11,75,Yükseliş,44.18,14.75,GÜÇLÜ ADAY
BEAM,27.32,55,Yükseliş,66.87,-5.73,İZLE
IQV,223.66,60,Yükseliş,62.62,18.53,İZLE
EDIT,2.41,45,Yükseliş,42.2,-1.03,İZLE
TSLA,438.7,55,Yükseliş,64.13,135.4,İZLE
NOV,16.02,75,Yükseliş,65.07,10.27,GÜÇLÜ ADAY
ULTA,591.65,45,Yükseliş,75.94,25.87,İZLE
NDAQ,89.68,70,Yükseliş,69.61,28.56,İZLE
MET,78.19,50,Yükseliş,67.97,8.07,İZLE
ORCL,218.78,45,Yükseliş,49.19,30.56,İZLE
AAPL,277.52,55,Yükseliş,65.69,33.4,İZLE
BIIB,181.43,80,Yükseliş,79.31,10.89,GÜÇLÜ ADAY
PYPL,61.37,60,Nötr,48.45,12.55,İZLE
WYNN,129.45,40,Yükseliş,66.47,25.79,İZLE
RTX,170.08,45,Yükseliş,40.17,27.84,İZLE
LMT,459.73,50,Yükseliş,44.64,16.35,İZLE
BMRN,53.21,60,Nötr,44.06,17.8,İZLE
AFRM,67.81,30,Yükseliş,49.2,144.28,İZLE
CTAS,184.41,40,Nötr,51.72,39.4,İZLE
L,102.57,55,Yükseliş,42.49,35.37,İZLE
